!DOCTYPE/Slow,lewi,internationallyagreed
"as/G- WANTS,adop,Febraury
Council/carcass,Arbitrat,Ahmad
Council of/backwardation,Parisbased Intergovernmental,backward
Councils/scene,dollarbased,Countries
Counsel/17,nonhearing,Piedmont Aviation
Counselor/yugoslavia,rebuild,soft
Counterpart/nib,guinea,retrospect
Counti/gwinnett,Hennepin,weekdai
Counti Natwest/untraded,todai I've,grei
Countri/xminus,Amadeus,1,001,900
Countries/scene,dollarbased,ita
Countrywid/CWTS.O,COUNTRYWIDE TRANSPORT,Rev 51.6
County/Pinella,Juli It,cvcc
County a/Winder,gwinnett,fastestgrowing
Coupes/Savannah,metropoliutan,Daytona
Coupon/statement The,nineyear,parpriced
Courier/Acquisit Inc,,Purol,LBO
Court/Evanston Ill.,,salary,MUM ON
Court Judge/pivot,Samjen last,Samjen Acquisition
Courtauld/Juliu,courtaulds,Herm
Craft/menswear,Marcad,Marcad Group
Crai Research/X-MP,Missil,Space
Craig/forestalled,bridesmaid,resignation
Crandal/trademarket,stern.,sense.
Crandall/trademarket,stern.,sense.
Crane/marley,Marley,Heater
Crane Co/Crane,marley,Marley
Crazi/buiness,endorsing,Laurenc
Crazi Eddie/buiness,endorsing,Laurenc
Creamett/Biloxi,Borden said,Rohm
Credit/HIGHER IN,Lorenz Finanz,gouging
Credit Commercial/splits,Serr,PARI.PA
Credit National/Placement,Agricole,Garanti
Credit Suisse/pact.,bakerstoltenberg,Septemb the
Creditbank/Airlin System>'s,Skanska,Chines capital.
Creditors/capacity.,chapter,Algerians
Creek/fluidized,CRAA.S,Burro
Creek Consolidated/CRAA.S,whim,Croesus
Crepe/shortcov,oneX,Latex
Critic/turf,prowess,Denshin
Critic Care/NPO Therapies',NPO,Mutchie
Criticism/He added.,criticisms,onesided
Croesus/CRAA.S,whim,ltd's
Cromwell/Kern,Commiss charged,Septemb to
Cross/Greycoat,Embankment,cultur
Crow/sometime,Staff,Co American
Crowley/baggag,pete,Stearn Airport
Crown/summon,Baqeri,ninecounty
Crown Petroleum/N.Y TANKERS,East Coast,Atlantic Coast
Crown Prince/superpower.,Bush,praised
Crucial/alRashid,recessionhit,edict
Crucibl/Net finance,Carbon,ceram
Crude/Heat,York close.,overdepend
Crush/Penang,Stocks,mediumshort
Cruz/physicals,Linar,foothill
Crystal/DIAMOND CRYSTAL,obtained.,DSLT.O
Cuba/Inner,01120101,Orinoco
Cuban/Inner,01120101,n
Cubic/Automat,BASIX CORP,toll
Cuellar/U.N. CLAIMS,Silkworm missile,silkworms
Cueva/employers,pesetas,closelywatched
Cuevas/Cueva,employers,pesetas
Cultiv/fodder,BEHIND,TWO WEEKS
Cumberlande/Wales,deadweight,magnesium
Cumul/BREAD,endSep,gallons
Cunha/Vilhena,subscript,Daiwa
Curacao/untraded,todai I've,grei
Curent/CALIFORNIA WATER,CWTR.O,unbil
Currenc/Local and,introduced,understanding
Currency/expended,surface,Parti (LDP)
Currency officials/Local and,slowly,Keh
Current/gallons,CANADA STOCKS/DOME,Net 21.8
Currently/March 9,,Technically,19001101
Currey/Trailways,trailways,collasp
Curt/NCNG,unwit,PNY
Cush/cushing,TheraCare,THERACARE
Cushing/Witchita,shortful,Okla
Custom/Thursdai and,Paramus,Wayne
Customs/shippers,March 9,,fines
Cut/Unfortunately,MUST CUT,practicable
Cutral/shippers,March 9,,19001101
Cutters/ssmc,ssm,Murfreesboro
Cwt -/NATIONAL AVERAGE,Natl,vi
CyCar Systems/cycr,CDA,CYCARE SYSTEMS
Cycar Systems/cycare,cad,BUYS CONTROL
Cyclop/dixon,CYCLOPS,nonresidenti
Cyclop Corp/dixon,cyclops,cyl
Cynthia/West Coast,startled,awhil
Cypru/Fearless,chinese,Bottom
Cytotech/Gilgor,SmithKlin,tissu
Czechoslovakia/slows,raini,EUROPE
D/settlements,Omni,PaineWebberGeodyne
D Tennant/Media General,Bryant,Industri <BRRS.O>,
D.C/U.S For,acquisitions.,Trafalgar House
D.S/Revco,vitamin,revco
DALLAS CORP/dls,00120101,OCt
DANIDA/Danish International,container,es
DANISH CROPS/fodder,BEHIND,Cultiv
DART GROUP/DROPS DAYTON,said Dart,dart
DART SAID/SOLD 1.4,dayton,hudson
DARTA.O/employess,Things,World Airlines
DATA/midsiezed,tiecommunications,tie
DATA ARCHITECTS/00160101,nd,Six
DATA MED/CLINICAL,SUPPORTDMCS.O,Sale 110,522
DATA TRANSLATION/datx,00180101,00130101
DATA.O/ENDATA INC,00160101,00110101
DATACOPY CORP/extraordinarycredit,DCPY.O,Prior
DATAFLEX CORP/DFLX.O,Share,00110101
DATATRAK INC/dtrk,nil,feb
DATC.O/datacard,Hennepin,DataCard stockholders."
DATELINE/Redmond,APPLIED DATA,Datelin
DAUPHIN DEPOSIT/Coloni to,Colonia,Dauphin
DAY INT'L/Dai International,park,Dai
DAYTON/FEDERATED,slowing,SEARS
DAYTON HUDSON/employess,Mack,statut
DBCM/untraded,todai I've,grei
DBLB.O/eagle,mining,19000228
DBS/Paues President,BELB.BR,Boart
DCAI.O/midAugust,Fox,fox
DCN/Note 52,HAYESDANA,pctowned
DCPY.O/extraordinarycredit,DATACOPY CORP,figur
DD/Conoco posted,duPont,CANADA STOCKS/DOME
DDG-/Shipyard,Tood,destroyer
DDSA/SLE,Sara,GRL
DE LAURENTIIS/deg,ENTERTAINMENT,Rev 25.6
DEAL/First Montauk,Hallamor,MONTAUK SECURITIES>
DEBT/REPAY,MINISTER,FOREIGN
DEBT SERVICE/InterGovernmental,happili,peaks
DECIDE/injunction,winners,irrepar
DECLARES ONE-FOR-10/Celltron Inc,CELT,celltronics
DEFICIT FALLS/excluded,gifts,Zhongji
DEKALB CORP/dklbb,SDhr,feb
DEL WEBB/Gilbert,Mesa and,Webb
DELAY/Hemdal,Comput Memories,CMIN.O
DELMED INC/dmd,pension,liquid
DELORS CALLS/Commiss President,quickly.,profoundly
DELUXE CHECK/dlx,PRINTERS,nonrecur
DENSEPAC MICROSYSTEMS/DPAC.O,ND,QTR
DEPARTMENT STORES/before.,Feder Department,fds
DEPARTMENTS/THREE D,tdd,Class
DEPOSIT GUARANTY/deps,dilut,CORP
DEPOSITS/Account,Banker Security,YIELD RISES
DESKPRO/cpq,Canion,Rod
DESPTP OMC/00540101,dso,Avg
DESTREHAN/LOADING,CARGILL,ZENNOH
DESTROYED OIL/RAIDED,Hoffman,U.S FORCES
DETC.O/DETECTION SYSTEMS,00360101,00310101
DETECTION SYSTEMS/00360101,00310101,DETC.O
DEVELCON ELECTRONICS/Rev 4,539,000,dlcff,MTHS
DEXTER/dex,00410101,Nine
DFC/whollygovernmentowned,if,opportunity
DFLX.O/00110101,Share,DATAFLEX CORP
DFM/durakon,Durakon Industries,DRKN.O
DH/spokesperson,FEDERATED,Things
DI GIORGIO/Giorgio,gabelli,Di
DIAMOND CRYSTAL/obtained.,Crystal,DSLT.O
DIAMOND SHAMROCK/dsp,Eight Record,OFFSHORE
DIANA CORP/dna,cts,discontinu
DICEON ELECTRONICS/Diceon,DICN.O,Symtron
DICN.O/Diceon,DICEON ELECTRONICS,Symtron
DIEBOLD INC/declares,Pai June,dbd
DIFFERENCES/FEDS JOHNSON,U.S.GERMAN,ACCORD ALIVE,
DIFFERENTIALS TOO/BANKER,Swiss National,INTEREST RATE
DIG/partners,,GabelliRosenthal,GAMCO
DIGIORGIO/PCT STAKE,partners,,GabelliRosenthal
DIGITAL/Western Digital,converted,wdc
DIGITAL COMMUNICATIONS/midAugust,DCAI.O,FOXT.O
DIGITAL CORP/redeems,Digit,Western Digtial
DIHT/He added.,criticisms,onesided
DIME.O/Dime,Loan 7.9,dime
DINB.O/Sale 72.7,Dinner Bell,leverage
DINNER BELL/Sale 72.7,DINB.O,Dinner Bell
DIS/Rip Tilden,Gencorp Inc,cash Under
DISC/orion,prices.,PCT TWIN
DISCUSSES DROPPED/Reuter...M,Intelstat,partisan
DISEASE/CROP THREATENED,Anhui,powderi
DISPUTE/Haltenbanken,Oljeselskap A/S,discus
DISTILLATE STOCKS/EIA SAYS,UP 2.85,BBLS
DISTILLATES/OFF,MLN BARRELS,,gasoline
DISTILLERS/DR,CUTS NATIONAL,Bass family
DIV/TintoZinc,SHR,attributable
DIVERSIFIED INDUSTRIES/Diversifi,Plume,Atwood
DIVIDEND/HIKES,-FOR-,SHOP COS
DIVISION/PROPOSES,Aurora,BUY LONRHO
DIW/favourable.,Schmahl,He added,
DIXONS EXPLORING/SALE OF,CYL,CYCLOPS
DIowa/diseas The,discriminates,predictable
DKLBB.O/Term were,Bickner,heinold
DKan./ARP,singlingout,omb
DLAR.L/Rue,Fin,rue
DLCH.O/Pacif Tea,Rourke,Delchamp
DLJ/NCNG,unwit,PNY
DLOG.O/Aspen,Fund Ltd,,Colo.
DLRS/SHARE,SURPLUS,06230101
DLRSBBL/UNOCAL RAISED,SOUTHLAND CORP,RAISED CRUDE
DLRSHR/clevite's,NASDAQ at,- J.P.
DLRSshort/SHEET,PRICES,RAISING STEEL
DLX/Check,datacard,Delux
DMOT.T/poland,FSO,JapanPoland
DMP/NVA.A.TO,PLANNING,management.
DMP.MO/CP.N,Neil,PanCanadian
DOE/settlements,overcharg,Omni
DOE RESOLVES/Tertiari,said DOE,Incentiv
DOLLAR OPENS/TOKYO,LOW,RECORD
DOLLARS FOR/YEN IN,say,FED BUYING
DOME MAY/Ltd <DMP.MO>,packages,debtrefinancing
DOMESTIC/xminus,USDAprojected,Accumul
DOMINION CALLS/Industri was,ye,U.S.dlr
DOMINION RESOURCES/03310101,08310101,00950101
DOMTAR INC/dtc,00370101,00410101
DONORS STILL/Chigaga,IMFinspired,openli
DOTRONIX INC/MONITORS,Dotronix,VIDEO
DOTX.O/dotronix,Wisconsinbased,VIDEO
DOW/BorgWarner because,Armen,Chemical
DOW CHEMICAL/HT,Dowtherm,Dow Chemical
DOW JONES/dj,00640101,versu
DOWNGRADES BANKERS/affects,debt,Blah
DOWNGRADES MICHIGAN/housebuild,competitv,mgl
DPAC.O/DENSEPAC MICROSYSTEMS,QTR,nil
DPRI.T/Print Co,Dai Nippon,Nomura Securities
DR/Bass family,CUTS NATIONAL,DISTILLERS
DRAM.O/MICRON TECHNOLOGY,19000619,00350101
DRCO.O/DYNAMICS RESEARCH,00210101,00130101
DRKN.O/durakon,DFM,Durakon Industries
DROP/CTS,CARDENAS,industrialists
DROPS DAYTON/DART GROUP,said Dart,Dart Group
DSLT.O/Diamond,DIAMOND CRYSTAL,Crystal
DSM/Chevron Exploration,CHEVRON N.SEA,Hydrocarbon
DSMN.AS/dsm,chemical,fertil
DTX.T/Secruti,Cobacked,Acqusit
DTex./safer,Commun Nutrition,inspectors
DU/Newmont Mining,newmont,Corrects
DU PONT/Nemour,OLN,EI
DUMP.PA/Dumez Investments,dumez,Dumez
DUMPS/HLM,SLCN.O,INVESTOR GROUP
DURUM/SOFT,xminus,SupplyX 369
DUTCH CONSUMERS/INDUSTRY/Bruyn,margarin,margarine
DVa./safer,Commun Nutrition,Institut "Company
DVt/STUDIES LOAN,Senat Agriculture,aside
DWI CORP/DWIC.O,nil,19000619
DWIC.O/DWI CORP,nil,19000619
DWPA.O/e WEBB,properties,inc
DWis/Proxmir,twotiered,sharehold Speaking
DXNS.L/SALE OF,CYL,CYCLOPS
DYN/dyncorp,antitrust,00320101
DYNA.O/dynascan,Maxtec,Dynascan
DYNAMICS RESEARCH/DRCO.O,00210101,00130101
Dai/introduced,Tanghe,DPRI.T
Dai International/DAY INT'L,park,Dai
Dai Nippon/Print Co,Nomura Securities,DPRI.T
DaiIchi/rate Banks,Yashouda,greece
Daihatsu/poland,FSO,JapanPoland
Daiichi/Hirabayashi,inflat Rises,rate Operators
Daili/Yunfu,N.Y TIMES,CHINAS WHEAT
Daili div/TAX FREE,lord,INCOME FUND
Daily/Telegraph Plc),Marai,Quebec The
Dairi/safer,Commun Nutrition,Institut "Company
Dairi Farm/Farm International,Dairy,pct Dairy
Dairy/Farm International,Kwik,Dairi Farm
Daiwa/indication,Vilhena,Keihanshin
Dakota pork/Swift Independent,dakota,Dress
Dale/hurricaneforce,earlydeveloped,unscath
Dalian/resumes,corp's,Xingang
Dalkon/Shield,qrah,expedi
Dalla/banctexas,Laurenc,buiness
Dallas/PCRO.O,welbilt,Handl
DallasFort/Plus,gaoslin,-octane
DallasFort Worth/AMR,MAIR.O,METRO AIRLINES
Dallasbased/Wyly,codevelopment,vault
Damag/Monument,moderate,Annuiti
Damascu/sovereignti,American aggression,",perfidi
Damascus/clever,devast,diplomats
Damm/stearns,American Stock,personel
Dan/River recedes.,Texa Sour,nearby
Dana/tightening,chicago,enagag
Danforth/Danworth,Westinghous,Westinghous Electric
Daniel/sauce,arap,cheif
Danish/Kjeldsen,proteins,colleagues.
Danish International/container,es,DANIDA
Danish agriculture/Copenhagen,Uffe,pigmeat
Dansk Naturgas/naturgas,IBJ,Denmark
Danworth/Danforth,Westinghous,Westinghous Electric
Dar/Danish International,container,es
Darbi/darby,Nominees,Sdn
Darbi paid-up/darby,Nominees,Darbi
Darby/darby,Nominees,Darbi
DaresSalaam/Protract,hierarchy,landlock
Darlington/North Carolina,celanese,decrib
Darman/Outgo,worse.,longplanned
Darrel/outrag,Waseda,Postal
Dart/employess,Things,World Airlines
Dart Group/employess,hudsondh,Mack
Dartmouth/uap,UAP,Ontario stores,
Data/happen.,cda,West Coast
Data Access/phfc,PHOENIX FINANCIAL,Ackerman
DataCard/datacard,Hennepin,DATC.O
DataCard Corp/datacard,Hennepin,DataCard stockholders."
DataCard filed/datacard,Hennepin,DataCard stockholders."
DataCard stockholders."/datacard,Hennepin,DATC.O
Datagraph/Copi majority,COPY INTERNATIONAL>,w GERMAN
Datagraph GMBH/Copi majority,COPY INTERNATIONAL>,w GERMAN
Dataproduct Corp/Image,Exxon Corp,Dataproduct said.
Dataproduct said./Image,Exxon Corp,Solutions
Datelin/Redmond,APPLIED DATA,subsystems
Datron/GGFH,datr,corrects
Datron Corp/GGFH,datr,corrects
Dauphin/Coloni to,Colonia,dapn
Dauphin Deposit/Coloni to,Colonia,Dauphin
Dauster/traditional,Distribution,registraion
Dave/Indosuez,remedy?,sidewai
Davi/SAINSBURYS TAKING,SUPERMARKETS,davis
David/forestalled,Mellon,Evanston Ill.,
David Brooks/Dedham,Robert Scott,Kellwood
Davis/Nerco Inc,davis,OILGAS
Dayton/FEDERATED,employess,Hudson
Dayton Hudson/employess,Mack,statut
DaytonHudson/spokesperson,employess,Rudi
Daytona/Savannah,metropoliutan,Sundances
De/CIIF,hake,contravent
DeBartolo/Kern,Commiss charged,Septemb to
DeJean/Biloxi,Borden said,Rohm
DeKalb/Term were,Bickner,heinold
DeKuyp/Improvement,Whiski,Windsor
Dealer/dollarbased,Englebright,externally
Dealers/maybe,anew,alQabas
Dean/projections,buiness,Jenrette
Deapart/barley,arabia,barlei
Debentures/NTPC,nonconvertible,R P.
Debt/Violent,ambiti,hoard
Debtor/reson,mound,curiou
Dec/Coloni to,Wesbanco Inc,colonial
Dec 11/Chattanooga,FCHT.O,Nov
Decatur/rally,Julynew,Summer
Decemb/tel,Yamani,extracts
Decemb Nazer/Saudi oil,Bakr,Yamani
Decemb and/unroast,Sendi,instant
December/extracts,revived,alChalabi
Decis/Washington laying,Chip,refut
Decision/Beloit,Syscon,Syscom
DecisionCapital/Gabelli Group,fund Gabelli,funddcf
DecisionCapital Fund/DecisionCapital,fund Gabelli,Gabelli Group
Dedham/David Brooks,Robert Scott,Kellwood
Deepak/Ronald Perelman,share.,Gambl
Defenc/awful,Apparent,U.S Technology
Defens/Hous Armed,Istyle,destroyers
Defici/Astra was,aids,Acquir
Deficit/asean,decry,fears.
Definit/projections,yes.,lagging
Dei/MA,brothers,19000501 Department
DeiAnang/nonAfrican,Abidjanbased,repayments
Dekalb Corp/Term were,Bickner,heinold
Del E./Gilbert,Mesa and,Webb
Del./salary,retention,said Spectra-Physics
Delai/Linar,physicals,balanced
Delatour/Haiti has,unrefin,PortauPrince
Delawar/Bank Building,translux,bb
Delawar corporation/VR Business,VR,Relph
Delaware/Florida and,Virginia Maryland,,District of
Delawarebased/UMAR.L,Ogelbay,Ultramar Plc
Delawarechartered/Conneticut,SOCIETY FOR,Save Bancorp
Delchamp/Pacif Tea,Rourke,DLCH.O
Deleg/undertook,wound,ITA
Delfino/Venezuela volatile,operate,frenet
Delhi/cultur,Buddhist,STAKES
Deliv/gsp,Dublin,Petrochem
Deliveri/price Last,Ceylon Petroleum,offload
Deloitt/period.,hwkb,auditors
Delor/Commiss President,DELORS CALLS,quickly.
Delta/Colvil,Kohlberg,Union Texas
Delux/Check,datacard,Hennepin
Demand/illadvised,ketchup,customdesigned
Deminex/semisubmers,mob,Norge
Democrat/Evanston Ill.,,worse.,Lisbon
Democrat of/Synar,Rep Mike,unprepared
Democrats/Bundesbank council,,CDU,adequately
Den/OPECled,Oljeselskap A/S,-room
Den Norske/semisubmers,statoil,codevelopment
Deni/Gill,Precipit,Duffu
Denko/denko,showa,B.S.C
Denko Ltd>/denko,showa,B.S.C
Denmark/naturgas,slows,Czechoslovakia
Denni/buiness,Laurenc,Inc <crzy>,
Denomin/REPACKAGES DANISH,repackag,vehicle
Denshin/outrag,Waseda,Postal
Denshin Denwa/Itoh,Telecom Japan,Telesi
Denver/KOAAM,denver,Klopfenstein
Denver refinery/Asamera Inc,Asamera,asamera
Denville/CoMED,TLHT.O,subscribers
Denwa/outrag,Waseda,Postal
Depart/supplant,HIGHER IN,Hous Armed
Depart forecast/SOUTH AFRICA,CROP,EXPORTS
Depart of/17,nonhearing,Piedmont Aviation
Department/fluidized,Thursdai and,Yaound
Depend/Enetertain Marketing,N.J electronics,Eddie common
Depending/jeopardy,Zimbabwean,Matabeleland
Deposit/Coloni to,MIDLANTIC CORP,brine
Deposit 697.4/SUN STATE,SSSL.O,00460101
Deputi/refut,Thursdai and,Yamani
Der/crosssection,Linden,parliamentarian
DerHwa/Thursdai and,bicycles,afraid
Deregulation/muscles,through. "In,deregulatori
Design/Funktion,EIS,Systems
Desk/diskettes,Solut,Informat Systems
Desk Top/diskettes,Solut,Informat Systems
Despit/harvested,Rights,runup
Despite/Inner,01120101,n
Destin/Coloni Bancgroup,Pensacola,COLONIAL BANCGROUP
Destrehan/LOADING,CARGILL,ZENNOH
Destroy/Resalat,Rakhsh had,U.S Naval
Detail/rav,Citibankled,RCI
Detect/Nation Park,,Agenci Inc,Cartel Security
Deterior/feared,Chaco,Santa Fe
Detroit/sportschannel,acquisitions.,Kuppenheim
Detroit Edison/tranches,companion,dte
Detroitbased/Nation Beverage,,Natur Beverages,Beverages
Deutsch/innovations,Accord.,Beyond
Deutsch Bank/deutsche,Financ NV,Friedrich Wilhelm
Develop/Water,FRANCE,tel
Development/JAPAN BUSINESS,Ishihara,Econom Organizations
Deys/Ark. and,Heers,Texa and
Dhabi/price Last,ADNOC,adnoc
Dhahab/Goran,Ronnskar,Paulson
Di/Giorgio,gabelli,DI GIORGIO
Di Giorgio/Giorgio,gabelli,Di
Di Sviluppo/01320101,Ordinari,FIAT.MI
DiGiorgio/Giorgio,gabelli,Di
Diamant/Paues President,BELB.BR,Boart
Diamond/DIAMOND CRYSTAL,obtained.,Crystal
Diamond Crystal/obtained.,Packet Products,assuming
Diamond Shamrock/drm,SHAMROCK,dia
Diaz/neighbourhood,Reuter Ramon,CIIF
Diceon/Symtron,DICEON ELECTRONICS,SYMTRON
Diceon Electronics/Diceon,DICEON ELECTRONICS,DICN.O
Dick/Bruyn,margarin,margarine
Did/revaluation,Indosuez,schlesinger
Diego/AHM,HFD,cci
Diego for/Jame and,uam,Unite Asset
Diegobased/verac,disclos The,Ball Corp
Diesel/pricestaxes,tolls,Kero
Diesel Engine/Dartmouth,UAP,uap
Dieter/lacklustre,scarc,counterpoint
Dietze/nib,guinea,retrospect
Digest/Reader,Telecomput,readers
Digiorgio/partners,,GabelliRosenthal,GAMCO
Digit/Itoh,EQUIPMENT,Telecom Japan
Digit Communications/midAugust,Fox,fox
Digit Equipment/EQUIPMENT,Digit,sink
Dillard/ALLIED STORES,Bonwit,Josk
Dillard Department/Ark. and,Heers,Texa and
Dillon/emcor,Avnet Inc,Ventur Capital
Dilut/ber,che,BEARINGS INC
Dime/DIME.O,Loan 7.9,dime
Dimens/SpeedStor,MAXTOR CORP,subsystem
Ding/industrialist,Tian,consul
Dinkov/oilmen,mln January-September,upsurg
Dinkov announced/Dinkov,oilmen,mln January-September
Dinner Bell/Grime,leverage,Kill
Diplomat/Fakkan,sabotag,kidnap
Direct/Capel and,dim,recklessly
Director/Iowa State,Thursdai and,carcass
Director Michel/IMF Managing,pleasant,managing
Directorate/Gerasimov,Soviet oil,Tuesdai Gennady
Disappointment/forestalled,bridesmaid,resignation
Disast/signingup,disaster,preventedf
Disc/orion,prices.,PCT TWIN
DiscoMat/Asylum,Ltd which,Tape
Discontinu/01110101,Extraordianri,06860101
Discount/SEE,flows.....In,Based
Discuss/nib,guinea,retrospect
Diseas/Ellen,salad,Industri and
Disnei/Holli Sugar,cash Under,nonbroadcast
Disput/slows,Czechoslovakia,raini
Distanc/marketable,investors.,Philippin Long
Distil/sometime,Co American,Whiski
Distil Ltd/Wine,seper,CDL.TO
Distilleri Ltd>,/financially.,Jackaman,Worts
Distribut/Colo.,DLOG.O,BLUE CIRCLE
Distribution/favours.,traditional,sacrif
Distributor/NCNG,unwit,PNY
Distributors/unopen,Supermarket General,Illinois
District/salary,Hennepin,Cosbi
District Council/Seattl,Todd Shipyards,multiunion
District of/Florida and,Virginia Maryland,,Delaware
Div/Packag,Extraordianri,06860101
Diversifi/DIVERSIFIED INDUSTRIES,Plume,Atwood
Diversifi Industries/Diversifi,DIVERSIFIED INDUSTRIES,Atwood
Dividend/gldc,Sale 72.7,PAY N'
Divis/ssm,Seattl,Murfreesboro
Divis of/Nation Park,,Agenci Inc,Cartel Security
Division/PROPOSES,Vulcan,ROYAL BUSINESS
Dixon/dixon,CYCLOPS,nonresidenti
Dixon Group/SALE OF,CYL,dixons
Djibouti/Burnudi,Comoros,Somalia
Dlr/Thursdai and,palladium,-room
Dlr a/Food Department,Agricultur approved,Northwest
Dlr of/jitter,Exporters,dollar,
Dlrs/Chienhsien,nonunderwritten,boui
Dlrs <Ansett/TNT,Arizona,NCPA.S
DlrsBuSorghum/NATIONAL AVERAGE,Cwt -,Natl
DnC/-room,Aster,tourist
Dobb/Greyhound will,proxy,Piri
Dodg/Comex,sights,said During
Dodge/noncopper,Comex,sights
Doe/Linar,physicals,balanced
Doe Run/immedi The,corrod,Herculaneum
Does/projections,yes.,lagging
Doherti/Greenshield,torrid,salesit
Dollar/Local and,Akira,gloomi
Dollars/mowlem,John Mowlem,complement
Dom/USSR COARSE,XBased on,Tonnes
Dome/Stck,dmp,packages
Dome Petroleum/CANADA STOCKS/DOME,tugofwar,publiclytraded
Dome include/CP.N,Neil,PanCanadian
Dome said/TransCanada announced,MAY BUY,debtladen
Dome shareholders/tugofwar,publiclytraded,Petroleum.
Dome./tugofwar,publiclytraded,Petroleum.
Domest/reson,FRANCE,gallons
Domest 10,500/TotalY,mediumshort,1.
Domest 20,000/TotalY,mediumshort,1.
Domest Use/03820101,ARGENTINA SOYBEANS,,03400101
Domingo/Cambio,brother,alleged
Dominguez/unmilled,palai,Bicol
Dominican/Costa Rican,Rigaud,Laidoff
Dominican Republic./Rigaud,Duvali,Laidoff
Dominick/Maybe,pronounc,believe
Dominion/victor,nonevent.,FLD
Dominion held/pivot,Samjen last,Hear
Don/Lornex,Townson,MIM
Donald/safer,Commun Nutrition,Hertz
Donald Houston,/hardship.,inspection,Inspection
Donald Regan,/abc,They,donald
Donald Trump/Interstate,suc,interstate
Donaldson/unforeseen,unwit,visual
Donaldsons/Ark. and,Heers,Texa and
Donegan/Greenshield,Doherti,torrid
Doni/-pct,caterpillar,costs.
Donner/Barco,brc,bacro
Donner and/Donner,Barco,brc
Donot/Coopervis chairman,Conference,Parker
Dosher/paint,Pace,Armen
Dotronix/DOTRONIX INC,MONITORS,VIDEO
Dotronix Inc/dotronix,Wisconsinbased,VIDEO
Doug/Ltd <DMP.MO>,packages,debtrefinancing
Dougla/MCDONNELL DOUGLAS,Shelton,Herb
Dougla predicted/Altogether,preelection,Predict
Dougla said./New Zealand,repaid,N.Z
Douglas/Evanston Ill.,,gyrat,mushroom
Dow/BorgWarner because,scof,Mellon
Dow Chemical/Dowtherm,HT,diphenyl
Dowtherm/HT,diphenyl,G to
Dowti/Woodvil,Engineer Ltd,Woodville
Draft Systems,/Vappenfabrikk,copy,Kongsberg Drafting's
Drake/Hemisphere,Enquiri,Whitehous
Draw/Rights,apr,Week
Dress/Dakota pork,Swift Independent,dakota
Dresser/RSL,Inc. a,Rosenkranz
Dresser Industries/RSL,Inc. a,Rosenkranz
Drew/awful,Apparent,Sungari
Drexel/FEDERATED,Stow,CNA Income
Drexel Burnham/TLX,Telex,Telex Corp
Dreyer/capacity.,chapter,Algerians
Dreyfu/Grain Co,MayNovember,bous
Drill/settlements,Omni,Parish
Drug/prioryear,unopen,CVSI.O
Drummond/GUIN.L,Panfida,Macarthy
Drummonds/GUIN.L,Panfida,Macarthy
Drysdal/agrreement,Cheadle,nominal.
Drysdale/agrreement,Cheadle,nominal.
DtuchShell/Group owns,Shell Canada,SHC
Du/PONT,incomes,Barend
Du Pont/PONT,Qa,LLXDU
DuPont/Armen,CANADA STOCKS/DOME,Chemical
DuPont <DD>,/tugofwar,publiclytraded,Petroleum.
Dual/viceversa,bottleneck,yaacobi
Dubai/jumps,oversuppli,thU
Dublin/gsp,Petrochem,Mediterranean prices
Due/commerciale,Lynch International,eurolire
Duesseldorf/Airways,CAA,taxi
Duffi/influential,Australian Minister,cairns
Duffi told/influential,Australian Minister,cairns
